OBJECTID,HWMID,HWM_TYPE,WTSHUNIT,WTSHNAME,UNIT_NO,CHAN_NAME,ROAD_NAME,STAGEGAGE,BM_NO,BM_DESC,BM_ELEV,ADJUST,SE10YR,SE50YR,SE100YR,SE500YR,LEGACY,FLD_DATE,CHK_DATE,BM_COND,HWM_ELEV,DISCLAIM,HWM_LOC,HWM_DESC,HWM_CONF,COMMENT,TEAM_MEM,PARTY_CHIEF,SRVY_CO,SRVY_DATE,POINT_X,POINT_Y,STATUS,SENSOR_PEAK_ELEV,TOP_PIPE_ELEV,HWI_ELEV,FINAL_HWM,GlobalID,CreationDate,Creator,EditDate,Editor,Water_Level_Change,HWM_VERIF,BMELEV_HISTORICAL,CSG_ELEVATION
1,D-0001,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,75 TH,,040020,"Floodplain Reference Mark Number 040020 is a
Brass Disk stamped BM6 Weisser on bridge at
South 75th Street N-bound and Brays Bayou located on downstream,
east sidewalk of N-bound bridge, at stream centerline
in the Brays Watershed near stream D100-00-00
ELEV. 20.35 Feet NAVD 1988, 2001 Adjusted.",20.35,-0.5,14.4,17.1,18.3,21.5,0,2019-09-19 14:06,2019-09-24 14:58,Correct,14.814,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,debris line on trees and grass south end of bridge.,Medium,,H. Hacker D. Jones,H. Hacker,HCFCD,2019-09-24 14:07,-95.29491279,29.72790324,Complete,,,,14.814,{7800626C-2F84-47A6-A11F-61252B6C634C},2019-09-23 14:29,HCFCDGISADMIN,2019-09-24 15:20,Heath_Hacker,5.536,,,
2,D-0002,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,LAWNDALE,410,040030,"Floodplain Reference Mark Number 040030 is a
Brass Disk stamped D100 BM03 on bridge at
Eastbound Lawndale Street and Brays Bayou
located on upstream, south sidewalk of bridge, at stream center
in the Brays Watershed near stream D100-00-00
ELEV. 21.974 Feet NAVD 1988, 2001 Adjusted.",21.97,-0.6,18.1,20.7,21.9,24.7,0,,2019-09-24 14:51,Correct,13.19,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,debris line on east side of bridge.,Low,no cork line on HWI pipe. Using sensor peak for final HWM elevation,"Jones, Hacker",Hacker,,2019-09-24 14:52,-95.30500169,29.7223665,Complete,14.76,25.1,,14.76,{17818C74-7455-4D09-B941-0DF4148D7F96},2019-09-23 14:29,HCFCDGISADMIN,2019-09-26 14:09,jeremy.justice9,8.78,,,
3,D-0003,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,IH 45 (IN BOUND),,040035,"Floodplain Reference Mark Number 040035 is a
Brass Disk stamped D100 BM04 on bridge at
IH 45 northbound feederand Brays Bayou
located on downstream, north sidewalk of bridge, at stream center
in the Brays Watershed near stream D100-00-00
ELEV. 31.492 Feet NAVD 1988, 2001 Adjusted.",31.49,-0.6,21.7,24.4,25.6,28.3,0,,2019-09-24 15:48,Correct,15.75,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,debris line in grass,Low,,"Jones, Hacker",Hacker,,2019-09-24 15:49,-95.3107609,29.71212374,Complete,,,,15.75,{8E799C23-425C-4D9A-9C38-50C753325DBF},2019-09-23 14:29,HCFCDGISADMIN,2019-09-27 13:18,Heath_Hacker,15.74,,,
4,D-0004,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,TELEPHONE RD,,040040,"Floodplain Reference Mark Number 040040 is a
Brass Disk stamped BM5 Weisser on bridge at
Telephone Road and Brays Bayou
located on downstream, northeast sidewalk of bridge, at stream center
in the Brays Watershed near stream D100-00-00
ELEV. 25.645 Feet NAVD 1988, 2001 Adjusted.",25.65,-0.6,23.4,26,27.3,30.2,0,,2019-09-24 16:11,Correct,18.65,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,debris line on NE grass berm,Low,,"Jones, Hacker",Hacker,,2019-09-24 16:12,-95.31339605,29.7088545,Complete,,,,18.65,{9A78F78E-E092-4C4C-91E6-393E2DDB7AAD},2019-09-23 14:29,HCFCDGISADMIN,2019-09-24 16:12,Heath_Hacker,7,,,
5,D-0005,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,WAYSIDE,,040045,"Floodplain Reference Mark Number 040045 is a
Brass Disk stamped D100 045D at
South Wayside Drive (N-bound) and Brays Bayou
located on downstream, east sidewalk of bridge, at stream center
in the Brays Watershed near stream D100-00-00
ELEV. 32.165 Feet NAVD 1988, 2001 Adjusted.",32.17,-0.6,24.9,27.8,29.2,32,0,,2019-09-24 16:22,Correct,24.35,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,solid debris line on southeast wing wall.,Medium,,"Jones, Hacker",Hacker,,2019-09-24 16:30,-95.31675215,29.70956569,Complete,,,,24.35,{B0546477-A1A1-46C7-BB5C-4888BAAE36E1},2019-09-23 14:29,HCFCDGISADMIN,2019-09-24 16:31,Heath_Hacker,7.82,,,
6,D-0006,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,OLD SPANISH TRAIL (OST),,040050R,"Floodplain Reference Mark Number 040050R is a 
ALUM DISK Stamped 040050R on bridge at 
Old Spanish Trail and Brays Bayou on downstream, south side,
in KeyMap 534G in the Brays Watershed on stream D100-00-00
ELEV. 31.31 FEET NAVD, 2001 Adjusted.
For More Information visit web-site
www.eng.hctx.net/permits.htm",31.31,-0.7,25.4,28.3,29.9,32.8,0,,2019-09-24 16:33,Correct,19.05,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,debris and laid down grass line.,Medium,,"Jones, Hacker",Hacker,,2019-09-24 16:47,-95.31957212,29.71058657,Complete,,,,19.05,{04DD0D21-3442-468E-9886-D17FFD5264B1},2019-09-23 14:29,HCFCDGISADMIN,2019-09-24 16:48,Heath_Hacker,12.26,,,
7,D-0007,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,MARTIN LUTHER KING,,040060,"Floodplain Reference Mark Number 040060 is a
Brass Disk stamped D100 BM07 on bridge at
Martin Luther King Boulevard (N-bound) and Brays Bayou
located on downstream, east sidewalk of N-bound bridge at stream center
in the Brays Watershed near stream D100-00-00
ELEV. 36.468 Feet NAVD 1988, 2001 Adjusted.",36.47,-0.8,29.7,32.4,33.7,36.1,0,,2019-09-24 17:25,Correct,24.25,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,solid debris line on grass west of bridges.,Medium,Top of pipe number is from top of pipe and no elevation was provided on this sheet.,"Jones, Hacker",Hacker,,2019-09-24 17:27,-95.33898095,29.714167,Complete,,14.575,,24.25,{5ADD2090-8256-478F-8D4B-0AB637FAB5A7},2019-09-23 14:29,HCFCDGISADMIN,2019-09-24 18:12,Heath_Hacker,12.22,,,
8,D-0008,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,CALHOUN,,040065,"Floodplain Reference Mark Number 040065 is a
Brass Disk stamped D100 BM08 on bridge at
Calhoun Road and Brays Bayou located downstream, 
on E. sidewalk of bridge at stream center
in the Brays Watershed near stream D100-00-00
ELEV. 33.408 Feet NAVD 1988, 2001 Adjusted.",33.41,-0.8,30.3,32.8,34,36.5,0,,2019-09-24 18:33,Correct,29.09,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Upstream,solid debris line on west side slope.,Medium,,"Jones, Hacker",Hacker,,2019-09-24 18:31,-95.34147852,29.71185384,Complete,,,,29.09,{3AA7E457-BDB5-4F74-B1EA-E396D431AA79},2019-09-23 14:29,HCFCDGISADMIN,2019-09-24 18:33,Heath_Hacker,4.32,,,
9,D-0009,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,SCOTT,,040070,"Floodplain Reference Mark Number 040070 is a
Brass Disk stamped D100 BM09 on bridge at
Scott Street and Brays Bayou located downstream,
on east sidewalk of bridge, at stream center
in the Brays Watershed near stream D100-00-00
ELEV. 37.919 Feet NAVD 1988, 2001 Adjusted.",37.92,-1,31.6,34.4,35.7,37.9,0,,2019-09-24 18:55,Correct,27.7,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,debris line on south slope,Low,,"Jones, Hacker",Hacker,,2019-09-24 18:54,-95.35655277,29.709686,Complete,,,,27.7,{AA0A0482-6E1F-48AA-B72B-F677DA482EDD},2019-09-23 14:29,HCFCDGISADMIN,2019-09-24 18:55,Heath_Hacker,10.22,,,
10,D-0011,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,SH 288,,040080,"Floodplain Reference Mark Number 040080 is a
Brass Disk stamped D100 BM11 on bridge at
Highway 288 Northbound feeder & Brays Bayou located 
on downstream, E. sidewalk of bridge, at stream center
in the Brays Watershed near stream D100-00-00
ELEV. 51.013 Feet NAVD 1988, 2001 Adjusted.",51.01,-1.2,33.6,36.4,37.8,40.1,0,,2019-09-24 19:21,Correct,31.42,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,solid debris line on concrete slope downstream.,High,,"Jones, Hacker",Hacker,,2019-09-24 19:20,-95.37805709,29.71214407,Complete,,,,31.42,{839B1E01-B284-45D9-B45E-98A670D4F126},2019-09-23 14:29,HCFCDGISADMIN,2019-09-24 19:21,Heath_Hacker,19.59,,,
11,D-0012,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,ALMEDA RD,,040090,"Floodplain Reference Mark Number 040090 is a
Brass Disk stamped D100 BM12 on bridge at
Almeda Road and Brays Bayou 
on downstream, east sidewalk of bridge, at stream center
in the Brays Watershed near stream D100-00-00
ELEV. 41.084 Feet NAVD 1988, 2001 Adjusted.",41.08,-1.2,34.4,37.6,39.1,41.9,0,,2019-09-24 19:39,Correct,32.64,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Upstream,defined debris line on North slope upstream.,High,,"Jones, Hacker",Hacker,,2019-09-24 19:38,-95.38207703,29.71315232,Complete,,,,32.64,{1B554FD6-9812-46D4-8A41-9D76ADB36C39},2019-09-23 14:29,HCFCDGISADMIN,2019-09-24 19:39,Heath_Hacker,8.44,,,
12,D-0013,BRIDGE,D,BRAYS BAYOU,D109-00-00,HARRIS GULLY,D109 @ MACGREGOR,400,040101,"Floodplain Reference Mark Number 040101 is a BRASS DISK Stamped RM 040101 EST 2006 on North MacGregor bridge over Harris Gulley located on headwall at stream centerline in the Brays Bayou Watershednear stream D109-00-00 ELEV. 39.11 Feet NAVD 1988, 2001 Adjusted.  For more information visit web-site www.eng.hctx.net/permits.htm.",39.11,-1.2,34.9,38.2,39.9,43,0,2019-09-19 19:40,2019-09-24 19:40,Correct,35.03,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,Right bank at debris line in channel,Medium,HWI tape 6.56,R. Velasco and R. Zucker ,RV,HCFCD,2019-09-24 19:43,-95.39223082,29.70787981,Complete,34.67,39.94,33.38,34.65,{AED00328-8B27-4E88-BAF3-3631BD9041E1},2019-09-23 14:29,HCFCDGISADMIN,2019-09-26 12:27,jeremy.justice9,4.08,,,
